File Found In, Element Found In, Error Description
ABBERLEY THE COMMON -STW,Old types found: 19 New types found: 18,Different number of unique types found
ABERMULE COURT CLOSE -SPS,ostime_1,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,oscall_1,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,powerf_2,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,intalrm_2,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,dighihi_1,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,diglow_1,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,nflow_3,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,navlink_1,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,navlink_2,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,navlink_6,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,navlink_5,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,navlink_4,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,macrol_1,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,macrol_2,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,macrol_3,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,diglow_2,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,plc_1,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,genor_1,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,ians_1,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,intalrm_1,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,digoflow_1,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,navlink_10,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,navlink_9,Object not found in anm and svg file meaning object has no parameters
ABERMULE COURT CLOSE -SPS,navlink_3,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,ostime_1,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,oscall_1,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,powerf_2,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,intalrm_2,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,dighihi_1,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,diglow_1,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,nflow_3,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,navlink_1,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,navlink_2,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,navlink_6,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,navlink_5,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,macrol_1,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,macrol_2,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,macrol_3,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,diglow_2,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,plc_1,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,genor_1,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,ians_1,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,intalrm_1,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,digoflow_1,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,navlink_10,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,navlink_9,Object not found in anm and svg file meaning object has no parameters
ACRESFORD BURTON ROAD -SPS,navlink_3,Object not found in anm and svg file meaning object has no parameters
ACTON COURT SITE 1 -SPS,diglow_1,Object not found in anm and svg file meaning object has no parameters
ACTON COURT SITE 1 -SPS,navlink_1,Object not found in anm and svg file meaning object has no parameters
ACTON COURT SITE 1 -SPS,navlink_2,Object not found in anm and svg file meaning object has no parameters
ACTON COURT SITE 1 -SPS,navlink_3,Object not found in anm and svg file meaning object has no parameters
ACTON COURT SITE 1 -SPS,navlink_5,Object not found in anm and svg file meaning object has no parameters
ACTON COURT SITE 1 -SPS,navlink_4,Object not found in anm and svg file meaning object has no parameters
ACTON COURT SITE 1 -SPS,intalrm_1,Object not found in anm and svg file meaning object has no parameters
ACTON COURT SITE 1 -SPS,digoflow_1,Object not found in anm and svg file meaning object has no parameters
ADBASTON LERRIDGE LANE -STW,intalrm_1,Object not found in anm and svg file meaning object has no parameters
ADBASTON LERRIDGE LANE -STW,plc_1,Object not found in anm and svg file meaning object has no parameters
ADBASTON LERRIDGE LANE -STW,genor_1,Object not found in anm and svg file meaning object has no parameters
ADBASTON LERRIDGE LANE -STW,uwwtd_1,Object not found in anm and svg file meaning object has no parameters
ADBASTON LERRIDGE LANE -STW,dighigh_2,Object not found in anm and svg file meaning object has no parameters
ADBASTON MAIN ROAD -STW,uwwtd_1,Object not found in anm and svg file meaning object has no parameters
ADBASTON MAIN ROAD -STW,genor_1,Object not found in anm and svg file meaning object has no parameters
ADBASTON MAIN ROAD -STW,plc_1,Object not found in anm and svg file meaning object has no parameters
ADBASTON MAIN ROAD -STW,intalrm_1,Object not found in anm and svg file meaning object has no parameters
AISBY -STW,uwwtd_1,Object not found in anm and svg file meaning object has no parameters
AISBY -STW,genor_1,Object not found in anm and svg file meaning object has no parameters
AISBY -STW,plc_1,Object not found in anm and svg file meaning object has no parameters
AISBY -STW,intalrm_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,ostime_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,oscall_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,powerf_2,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,intalrm_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,dighihi_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,diglow_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,nflow_3,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,drywell_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,digoflow_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,genor_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,macrol_3,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,macrol_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,macrol_2,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,navlink_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,navlink_2,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,navlink_3,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,navlink_5,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,plc_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,ians_1,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,navlink_10,Object not found in anm and svg file meaning object has no parameters
ALBERBURY -SPS,navlink_9,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,ostime_1,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,oscall_1,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,intalrm_1,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,dighihi_1,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,diglow_1,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,nflow_3,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,navlink_1,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,navlink_2,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,navlink_3,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,navlink_5,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,genor_1,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,plc_1,Object not found in anm and svg file meaning object has no parameters
ALBERT VILLAGE HIGHFIELDS -SPS,navlink_10,Object not found in anm and svg file meaning object has no parameters
