objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,longitude,lat,st_areashape,st_lengthshape
1,E05000026,Abbey, ,544434,184378,0.081291,51.53982162,0.000162797043219745,0.0950559910881689
2,E05000027,Alibon, ,549247,185196,0.150987,51.54592133,0.000176818587487697,0.0810437855256385
3,E05000028,Becontree, ,546863,185869,0.116912,51.55260086,0.000166957945741597,0.0750360494833651
4,E05000029,Chadwell Heath, ,548266,189340,0.138596,51.5834198,0.000438934333712994,0.108752675362314
5,E05000030,Eastbrook, ,550774,186272,0.173453,51.55519104,0.000447233534515363,0.106965939040695
6,E05000031,Eastbury, ,546074,183978,0.104756,51.53580856,0.000186473030703919,0.0908668165300686
7,E05000032,Gascoigne, ,544763,183581,0.085704,51.53258133,0.000141172357522663,0.0936246696851336
8,E05000033,Goresbrook, ,548007,184060,0.132641,51.53604126,0.000165560085008254,0.0717491959922206
9,E05000034,Heath, ,549340,186620,0.152931,51.55868912,0.000259415554262352,0.0973630539955445
10,E05000035,Longbridge, ,545276,184914,0.093644,51.54442978,0.000213210207106754,0.077637721961372
11,E05000036,Mayesbrook, ,547124,185052,0.120332,51.5451889,0.000240572543672275,0.0941520596921541
12,E05000037,Parsloes, ,548150,185599,0.13534801,51.54983139,0.000161207441012891,0.085469159860858
13,E05000038,River, ,549432,182817,0.15264501,51.5245018,0.000405317530892845,0.109877219713307
14,E05000039,Thames, ,547151,182704,0.119742,51.52407837,0.000866225302487026,0.16714946599731
15,E05000040,Valence, ,548153,186867,0.13592499,51.56122971,0.000167593556617,0.0698927573380244
16,E05000041,Village, ,550361,184190,0.166611,51.53659058,0.000278252726220656,0.097667271725451
17,E05000042,Whalebone, ,548545,187662,0.141911,51.56827164,0.000201477948693011,0.0851498621817468
18,E05000043,Brunswick Park, ,528433,193715,-0.14588,51.62760162,0.000412283431060206,0.0968979804560649
19,E05000044,Burnt Oak, ,520522,190761,-0.26113001,51.60279846,0.000268280838820815,0.082065078982651
20,E05000045,Childs Hill, ,524656,186687,-0.20291001,51.56528854,0.00040105854949204,0.111371648899608
21,E05000046,Colindale, ,521442,189584,-0.24826001,51.59201813,0.000342054332263478,0.0921525396448907
22,E05000047,Coppetts, ,528052,191830,-0.15207,51.61074829,0.000353118290644274,0.0889206642096339
23,E05000048,East Barnet, ,527475,195754,-0.15897,51.64614105,0.000487029750122635,0.110405012365418
24,E05000049,East Finchley, ,526811,190033,-0.17062999,51.59487915,0.000325656080505478,0.0961994244575756
25,E05000050,Edgware, ,518863,193351,-0.28420001,51.62643051,0.000721474584777272,0.148637268046276
26,E05000051,Finchley Church End, ,524690,190195,-0.20118,51.59680939,0.000353667020640506,0.103602956411865
27,E05000052,Garden Suburb, ,526124,188445,-0.18111999,51.58076096,0.000613145529322531,0.121734784710863
28,E05000053,Golders Green, ,523819,187290,-0.21477,51.57088852,0.000385570952372185,0.109983975353544
29,E05000054,Hale, ,520890,193803,-0.25477001,51.63005829,0.000704157429723312,0.183503051557172
30,E05000055,Hendon, ,523084,189557,-0.22458,51.59143066,0.000368295013505096,0.0923069025618875
31,E05000056,High Barnet, ,523890,196696,-0.21043,51.65541077,0.00107920765726308,0.23995204545802
32,E05000057,Mill Hill, ,523111,192066,-0.22330999,51.61397171,0.00121877560859116,0.177290964820329
33,E05000058,Oakleigh, ,526687,194738,-0.17072,51.63719177,0.000430954112516408,0.133925388665356
34,E05000059,Totteridge, ,524649,193508,-0.20059,51.62659073,0.001139359602978,0.208664884899323
35,E05000060,Underhill, ,523991,195493,-0.20939,51.6445694,0.00059107635324403,0.204854729158345
36,E05000061,West Finchley, ,525518,191440,-0.18878999,51.60781097,0.000280781985420005,0.0935996593827594
37,E05000062,West Hendon, ,522394,188065,-0.23504999,51.57817078,0.000444716701188912,0.121875527231121
38,E05000063,Woodhouse, ,526776,191859,-0.17048,51.61130142,0.000340211009322444,0.102822606705189
39,E05000064,Barnehurst, ,550460,175355,0.164272,51.45718002,0.000372162703806398,0.127506514235919
40,E05000065,Belvedere, ,549321,178637,0.149278,51.48696899,0.000370983991429415,0.116515961255737
41,E05000066,Blackfen and Lamorbey, ,545401,173876,0.090901,51.4452095,0.000217966571587155,0.099605126307487
42,E05000067,Blendon and Penhill, ,547322,173969,0.118562,51.44554901,0.000271287268310191,0.103247018939802
43,E05000068,Brampton, ,548864,176676,0.141874,51.46947098,0.000254538886460867,0.0916600008637243
44,E05000069,Christchurch, ,548925,175206,0.142132,51.45624924,0.000330075070827731,0.10728500812878
45,E05000070,Colyers, ,550740,176890,0.168954,51.47090149,0.000212684296677876,0.0847066789400934
46,E05000071,Crayford, ,551768,175070,0.182962,51.45426941,0.00051317669383664,0.135521386938146
47,E05000072,Cray Meadows, ,548274,171449,0.13119701,51.42266083,0.000929331237925752,0.169852396272476
48,E05000073,Danson Park, ,547301,175187,0.118768,51.45650101,0.000350940706100098,0.108878072360472
49,E05000074,East Wickham, ,545785,176411,0.097468,51.46789169,0.000281147802477789,0.0798874668925871
50,E05000075,Erith, ,550726,178873,0.169598,51.48871994,0.00044543044126255,0.121535132710957
51,E05000076,Falconwood and Welling, ,545455,175296,0.092262,51.45795822,0.000216042904334309,0.0976887851319885
52,E05000077,Lesnes Abbey, ,548175,178189,0.132596,51.48324966,0.000306748243985046,0.0943130941384107
53,E05000078,Longlands, ,545622,171995,0.093306,51.42824936,0.000335720692310038,0.110502225221187
54,E05000079,North End, ,552701,176856,0.19715101,51.47006989,0.000576038076945497,0.143819912541001
55,E05000080,Northumberland Heath, ,549649,177366,0.15346,51.47546005,0.000226797013163334,0.0861514556770983
56,E05000081,St Mary's, ,549096,173258,0.14377099,51.43870163,0.000572569677157086,0.137344936056812
57,E05000082,St Michael's, ,547201,176845,0.11802,51.47142029,0.000187362019582913,0.0562808991897487
58,E05000083,Sidcup, ,546202,173047,0.102077,51.43756104,0.000349501231707009,0.119191574319318
59,E05000084,Thamesmead East, ,548396,180162,0.13660599,51.50091934,0.000514820496537091,0.106260970077489
60,E05000085,Alperton, ,518344,183853,-0.29488999,51.54116821,0.000266792094012313,0.107214451286151
61,E05000086,Barnhill, ,519301,187233,-0.27994999,51.5713501,0.000386344316351609,0.118064116853735
62,E05000087,Brondesbury Park, ,523503,184107,-0.22045,51.54235077,0.000224141517594657,0.0855787439355475
63,E05000088,Dollis Hill, ,522313,186513,-0.23676001,51.5642395,0.000298173912714518,0.0876270981018732
64,E05000089,Dudden Hill, ,522083,185505,-0.24043,51.55522919,0.000217980425047874,0.11574646391757
65,E05000090,Fryent, ,520182,188419,-0.26684001,51.58182144,0.00034497085687839,0.10690558113024
66,E05000091,Harlesden, ,521490,183879,-0.24954,51.54074097,0.000144337229021493,0.0582031369780915
67,E05000092,Kensal Green, ,522352,183277,-0.23732001,51.53514862,0.000145139251977874,0.0701878395870252
68,E05000093,Kenton, ,517617,188189,-0.30392,51.58029938,0.000290973257118777,0.0953290699770911
69,E05000094,Kilburn, ,524960,183799,-0.19956,51.53926849,0.000122329011895153,0.0593740761814511
70,E05000095,Mapesbury, ,523466,185443,-0.22051001,51.55437088,0.000180643229545358,0.0711146545509768
71,E05000096,Northwick Park, ,516715,187252,-0.31724,51.57205963,0.000347543868278363,0.0998746628292521
72,E05000097,Preston, ,518207,186413,-0.296,51.56420898,0.000309694517686683,0.0866951462961674
73,E05000098,Queens Park, ,524047,183333,-0.21288,51.53527832,0.000192510637228116,0.0779410755345099
74,E05000099,Queensbury, ,519681,189604,-0.27366,51.59257889,0.000266143353284327,0.084604287275945
75,E05000100,Stonebridge, ,520083,183661,-0.26989001,51.53908157,0.000524981009075547,0.130219148653617
76,E05000101,Sudbury, ,516871,185370,-0.31562001,51.55511856,0.000275471921040275,0.104149644100659
77,E05000102,Tokyngton, ,519356,185188,-0.27985001,51.55295944,0.000357698464541701,0.0927059163904966
78,E05000103,Welsh Harp, ,520882,186662,-0.25734001,51.56587982,0.000300705308736813,0.110263597240919
79,E05000104,Wembley Central, ,518205,184839,-0.29655999,51.55007172,0.000207953290274408,0.08823023965285
80,E05000105,Willesden Green, ,522219,184330,-0.23886999,51.54463959,0.000200647644863445,0.093690588382018
81,E05000106,Bickley, ,542443,169027,0.046418,51.40238953,0.000629048141439571,0.125018396148286
82,E05000107,Biggin Hill, ,541094,159119,0.023113,51.31369019,0.00106779933357486,0.179807748724871
83,E05000108,Bromley Common and Keston, ,542215,165398,0.041692,51.36983871,0.00107268487932733,0.219083925598749
84,E05000109,Bromley Town, ,540273,169266,0.015337,51.40507889,0.000480182884573352,0.164131353438095
85,E05000110,Chelsfield and Pratts Bottom, ,547216,162725,0.112379,51.34455109,0.0016212337415963,0.267654428952806
